tourney_id,tourney_name,surface,drap1_size,tourney_level,tourney_date,match_num,p1_id,p1_name,p1_hand,p1_ioc,p1_age,p1_rank,p1_rank_points,p2_id,p2_name,p2_hand,p2_ioc,p2_age,p2_rank,p2_rank_points,p1_win_prob_20w,p1_ace_prob_20w,p1_df_prob_20w,p1_svptWon_prob_20w,p2_win_prob_20w,p2_ace_prob_20w,p2_df_prob_20w,p2_svptWon_prob_20w,p1_surface_win_prob_20w,p2_surface_win_prob_20w,p1_win,diff_points
2016-0451,Doha,Hard,32.0,A,20160104.0,299.0,104925.0,Novak Djokovic,R,SRB,28.62149213,1.0,16585.0,104607.0,Tomas Berdych,R,CZE,30.29705681,6.0,4620.0,1.0,0.04054054054054054,0.013513513513513514,0.7027027027027027,1.0,0.09580838323353294,0.03592814371257485,0.6706586826347305,1.0,1.0,1,7
2016-M020,Brisbane,Hard,32.0,A,20160104.0,300.0,105683.0,Milos Raonic,R,CAN,25.02121834,14.0,2170.0,103819.0,Roger Federer,R,SUI,34.40657084,3.0,8265.0,1.0,0.17721518987341772,0.05063291139240506,0.7257383966244726,1.0,0.0872093023255814,0.011627906976744186,0.75,1.0,1.0,0,3
2016-0891,Chennai,Hard,32.0,A,20160104.0,300.0,104527.0,Stanislas Wawrinka,R,SUI,30.770705,4.0,6865.0,106432.0,Borna Coric,R,CRO,19.137577,44.0,941.0,1.0,0.16666666666666666,0.01282051282051282,0.7564102564102564,1.0,0.0851063829787234,0.010638297872340425,0.6728723404255319,1.0,1.0,1,7
2016-0451,Doha,Hard,32.0,A,20160104.0,300.0,104745.0,Rafael Nadal,L,ESP,29.58795346,5.0,5230.0,104925.0,Novak Djokovic,R,SRB,28.62149213,1.0,16585.0,1.0,0.05514705882352941,0.011029411764705883,0.6911764705882353,1.0,0.04608294930875576,0.013824884792626729,0.7004608294930875,1.0,1.0,0,12
2016-0301,Auckland,Hard,32.0,A,20160111.0,271.0,103794.0,Benjamin Becker,R,GER,34.57084189,98.0,595.0,104259.0,Philipp Kohlschreiber,R,GER,32.23819302,34.0,1185.0,0.0,0.022222222222222223,0.022222222222222223,0.4666666666666667,,,,,0.0,,0,10
2016-M001,Sydney,Hard,32.0,A,20160111.0,271.0,104180.0,Gilles Muller,L,LUX,32.67624914,38.0,1105.0,106432.0,Borna Coric,R,CRO,19.15674196,40.0,1066.0,0.5,0.21428571428571427,0.06493506493506493,0.7207792207792207,0.8,0.0774487471526196,0.011389521640091117,0.6651480637813212,0.5,0.8,1,11
2016-0301,Auckland,Hard,32.0,A,20160111.0,272.0,105217.0,Thiemo De Bakker,R,NED,27.310061600000004,100.0,582.0,105077.0,Albert Ramos,L,ESP,27.9835729,55.0,798.0,,,,,0.0,0.07766990291262135,0.019417475728155338,0.6310679611650486,,0.0,0,5
2016-M001,Sydney,Hard,32.0,A,20160111.0,272.0,105438.0,Inigo Cervantes Huegun,R,ESP,26.11362081,72.0,703.0,105902.0,James Duckworth,R,AUS,23.97262149,134.0,447.0,,,,,0.0,0.15053763440860216,0.010752688172043012,0.6236559139784946,,0.0,0,15
2016-0301,Auckland,Hard,32.0,A,20160111.0,273.0,104926.0,Fabio Fognini,R,ITA,28.63518138,21.0,1515.0,105311.0,Joao Sousa,R,POR,26.78439425,33.0,1191.0,,,,,,,,,,,1,7
2016-M001,Sydney,Hard,32.0,A,20160111.0,273.0,104871.0,Jeremy Chardy,R,FRA,28.91170431,31.0,1255.0,105062.0,Mikhail Kukushkin,R,KAZ,28.04380561,63.0,762.0,1.0,0.19148936170212766,0.0425531914893617,0.7021276595744681,0.5,0.032,0.024,0.64,1.0,0.5,1,5
